Prefix	Stem	Tone	POS	Class	Gloss
	limunula	LLLL	v		plough fallow ground; replough a patch
	linda	LL	v		wait for; to stay in guard
n	lindi	LL	n	1	one who guards corn against birds
chi	ling'wana	HHH	n	7	velum
	linga	HH	v		look
	linga	LH	n	5	type of bracelet
chi	linga	HH	n	7	tendency to stare
	linganya	HHL	v		look in all directions, as when suspicious
	lingilila	HHHL	v		watch; gaze at
	lingisana	HHHL	v		be opposite each other; face each other
	lingisisa	HHHL	v		examine; look into carefully
	lini	HH	adv.		when
	lini	HH	adv.		when
	lipa	LL	v		to pay a debt; fine; or payment for services rendered
	lipisa	LLL	v		cause to pay one for some destruction
n	lipo	LL	n	3	handle of a bucket or a pot, basin or cup
	lisa	HL	v		herd or look after, as of livestock
n	lisi	HL	n	1	shepherd; herdboy
	litsatsana	LLLH	adj.		delicate or thin, as of a cloth
	lizana	LLL	v		fit properly
	lizanya	LLL	v		make equal; measure; try on some clothes
	loba	HL	v		beat or hit
chi	lobe	LL	n	7	large cakes of dry dung
	lobodza	HHL	v		to give away, as in marriage; officiate a marriage; cause to marry
	lobola	HHL	v		marry
ma	lobolo	HHL	n	6	lobola; money or cattle normally paid by the groom to the bride's parents before marriage
	logwa	HL	v		be spanked; be beaten; be hit
chi	loko	LH	n	7	black earth; hard baked earth
n	lolwani	HHH	n	3	border;  boundary
	lombe	LL	n	5	singer
n	lomo	LL	n	3	mouth; beak of a bird; an opening
	londa	LL	n	5	boil; sore
	londa	LL	v		go after; follow; trace, as someone who is lost
	longa	LL	v		put into; insert
	longa-zhoba	LLLH	v		make noise
	longanilo	LLLL	n	5	joint, in the body
chi	longo	LH	n	7	water pot; earthen  pot;  a clay pot
n	longo	LL	n	1	bride; daughter-in-law
	longoloka	LLLL	v		follow each other in order, as when in a queue
	longolosa	LLLL	v		set in order; arrange in order
n	longwe	HL	n	3	type of tree
	lonjelela	LLLL	v		thread something, as beads in a string
chi	lopa	LL	n	7	liver
ma	lopa	LL	n	6	blood
	lopa	LL	n	5	drop of blood
chi	lopo	HL	n	7	pillow case
n	lota	LL	n	3	ash
	lowa	LL	v		bewitch
n	loyi	LL	n	1	wizard; witch
bu	loyi	LL	n	14	witchcraft
	luba	LH	n	5	cotton wool; flower
bu	lubi	LL	n	14	brain; intelligence
	luka	LL	v		knit; plait; weave
	luka-maano	LLLLL	v		to plan; to devise means
n	luki	LL	n	1	weaver;  one who knits or crotch
n	luko	LL	n	3	pattern of weaving; a knitting pattern; plait pattern
	lulwama	LLL	v		nice; honest; just
n	lulwamisi	LLLL	n	1	one who puts things right or straight
	luma	HL	v		bite; sting; infect with venereal disease; eat the first fruits
n	lume	HH	n	1	man
chi	lume	HH	n	7	pertaining to man; manly
n	lumetate	HHHH	n	1	grown man
	lumika	HHL	v		cup; have blood drawn by cupping
chi	lumiki	LLL	n	7	one who cups or extracts blood by means of a horn
chi	lungwani	LLL	n	7	pinnacle, as of a hut
n	lunyana	HHH	n	1	best man; the young brother of ones husband
	lutsHi	LH	n	11	soft inner bark of a tree used for making a string
	ma	H	v		stand; stop; menopause; to marry
	maama	HHL	v		wander about aimlessly
	mabasheto	HLHL	n	7a	type of weed
	machibogwe	HLLH	n	7a/2a	type of tree
	madekwana	LHLH	n	17	evening
	madekwe	LHL	n	17	yesterday
	maga	HL	n	9/10	mug
	mahadzi	HHH	n	1a	father's sister, an aunt
	makasitirata	HHLLHL	n	1a/2a	magistrate
	makat'e	LHL	n	7a/2a	bridesmaid
	makenyi	LHL	n	17	last year
	makenyuja	LHHL	n	17	year before last
	mampanyamanya	HHHHH	n	7a/2a	wasp that comes out of the ground after the rain and is edible
	mana	HL	v		too small a size to fit into something; too tight
	manchese	HHL	n	7a	big beetle
	mandana	HHL	v		be crowded, as of people in a hall
chi	manga	LL	n	7	maize; maize cob
	mangwana	LHL	n	17	tomorrow
	mangwanana	LHHH	n	17	early morning; early mornings
	manikana	HHHL	v		be crowded; press upon each other in a crowd
	manikano	HHHL	n	10	problems; inconveniences
	manikanya	HHHL	v		cause to be crowded; cause to be in a difficult position; make uncomfortable
	manila	HHL	v		to get stuck in something
	manini	HHL	n	1a/2a	mother's younger sister; an aunt
	mankhwakwarara	HHHLL	n	7a/2a	cricket
	mankhwanyahali	HLLHL	n	7a/2a	praying mantis
	manlembe	HHL	n	7a/2a	bat, a bird
	mannyongovi	HHHH	n	7a/2a	snail
	mantHumbe	HHL	n	7a/2a	insect that lives in a grass-woven case and moves around carrying it
	mantokwe	HLH	n	7a/2a	honey made by small black bees in hollows of dead trees
chi	mata	LL	n	7	fool; idiot
	mauru	LHL	n	6	cooked dry maize
	mba	H	v		sing
	mbaakanyo	HHHL	n	9	preparation; a correction
	mbaba	HH	n	9	Winter season
	mbadhu	LL	n	10	ribs
	mbako	HL	n	9	the process of building; bulding
	mbale	LH	n	10	burns or scorchmarks due to basking by the fire or in the sun
	mbanje	LH	n	10	dagga; marijuana drug
	mbano	LL	n	9/10	firstborn child
	mbasela	LHL	n	9	bonus; something one is given after buying something
	mbatata	LHH	n	9/10	type of sandal shoe made from tyres
	mbatsha	LL	n	10	splinters of wood; danger
	mbava	LH	n	9/10	thief
	mbeba	LL	n	9/10	rat; mouse
	mbeleko	LLL	n	9/10	skin or cloth in which a baby is carried on the back
	mbeli	LH	n	17	genital organs; in front of; ahead; forward
	mbewu	HL	n	9	seeds, to be sown when ploughing
	mbezho	LL	n	9/10	adze
chi	mbi	H	n	7	a singer
	mbidzo	LL	n	9	yeast
	mbiganyo	HHL	n	9	funeral
	mbila	HL	n	9/10	rock rabbits
	mbila	LH	n	9	gruel,  a very thin porridge made for babies or very sick people
	mbipo	HL	n	9	ugliness
	mbisa	HL	v		cause to sing; conduct a choir
	mbiyo	LL	n	10	labia
	mbizi	LH	n	9/10	communal work; a horse
	mbizi-ye-shango	LLHLL	n	9	zebra
nji	mbo	H	n	10	songs
lu	mbo	H	n	11	song; tune
	mbodza	LL	n	9	badly prepared food 
	mbomboro	HHH	n	10	ants
	mbonje	LL	n	10	injuries
	mbotana	LLH	n	9	small calf, that which is a few days old to a few weeks
	mbuba	LL	n	9	provision; food for the journey
	mbudzana	HLH	n	9/10	kid goat
	mbudzi	HH	n	9/10	goat
	mbujo	HL	adj.		naked; lack the covering required for decency
	mbumula	LLL	v		beat hard
	mbuno	LL	n	9/10	pip of a fruit or berry
ma	mburumburu	LLLL	n	6	crumbs, as of bread or food
	mela	LL	v		germinate; sprout
ma	mela	LL	n	6	sprouted corn, used in brewing traditional beer
m	mela	LL	n	3	small corn plants just after sprouting
chi	melamela	LLLL	n	7	sweet beer
li	mende	HL	n	11/6	spleen
	menya	HL	v		peel off, as the peel of an orange
	menyeka	HHL	v		capable of being peeled off
chi	menyenga	HHL	n	3	food without relish
	menyengela	HHHL	v		eat food without relish
li	menyo	HL	n	11	small black ants
li	meshwe	LH	n	11	left hand
m	mete	HL	n	3	mat; carpet
	metHa	HH	v		pluck off, as feathers from a chicken
	metHu	HH	adj		be in calf or lamb; be pregnant, of an animal
	meya	LH	n	3	spirit; breath
chi	meya	LH	n	7	spiritual; pertaining to spirit
	mezwale	HLL	n	1a	mother-in-law
chi	mi	H	n	7	whip, the type used on oxen
	midula	HHL	v		lift something that is heavy
	midza	LL	v		swallow down food
zhi	midza-mbila	LLLH	n	21	huge mamba snake
m	midzo	LL	n	3	throat; oesophagus
	migwa	HL	v		have an erection
	mijana	LLH	n	3	small mucus
	mila	HL	v		call to express condolences
ma	mila	LL	n	6	mucus
	mila	LL	v		get lost; set, as of the sun
	mile	HL	v		be standing
m	mili	HH	n	3	native chess game
	milidza	HHL	v		to lift up, as of something
	milidza-zebe	HHLLH	v		be alert; be watchful
m	milidzi	HHL	n	1	one who lifts up
	milika	HHL	v		stand up
	milila	HHL	v		wait for
n	milili	HHL	n	1	defence counsel; legal practitioner
bu	milo	HL	n	14	station, as of buses, train, taxis etc.
chi	milo	LL	n	7	nose
	mima	HL	n	9	alarm; loud shout; a scream
	mimila	HHL	v		scream loudly; shout or cry loudly
chi	mimila	HHH	n	7	rotten egg that refused to hatch
	mimina	LLL	v		strain, as of liquid
	minisitara	HHLLH	n	9	government minister
	minyalala	HHHL	v		walk straight, with chest out and head bent backwards
	mme	H	n	1a	mother
	mmebakulu	HLHL	n	1a	maternal aunt, older than one's mother  
	mmeyabe	HLH	n	1a	his/her mother
	mmeyabo	HLH	n	1a	your mother
chi	mo	H	n	7	status
ma	mo	H	n	6	rank; position of importance; status
zwi	mo	H	n	8	statuses 
bu	mo	H	adv.		instead
	momo	LH	n	3	shin bone
	mona	HH	v		twist, as the lid of a bottle; wring, as the neck of a bird
chi	monamoni	HHHL	n	7	very thick or hard porridge
	monga	LL	n	9	 honey made underground by small black bees which do not sting
	mongo	LH	n	3	bone marrow
	moto	LH	n	3	fire; heat
	motokara	HHHL	n	3	car
	moulo	HHL	n	3	mule
	mowa	LL	n	5	cockscomb; a species of vegetable, used as relish
	moyo	LL	n	3	heart
	moyo-mbi	LLH	n	3	evil-heartedness
	moyo-mbuya	LLLL	n	3	nice or good-hearted
	moyo-nchena	LLLL	n	3	merry-hearted; happiness
	moyo-nlefu	LLLH	n	3	patience
	mpheechani	HHLL	n	7a/2a	sandal (a shoe)
	mpheeswani	HHLL	n	7a/2a	rhinoceros
chi	muamua	LLLL	n	7	 idiot
	muka	LL	v		wake up; get up
	mukigwa	LLL	v		have an erection
	mukila	LLL	v		rise up against; rebel against
ma	muko	LL	n	6	health; state of wellbeing
	muma	HL	v		to shut the mouth, as of a person; be tight-lipped
	mumakanya	HHHL	v		unite; piece together
chi	mumu	HL	n	7	dumb person
	mundambeli	LLLL	n	1a	name used for calling men of a particular totem
chi	munika-nyemba	LLLLL	n	7	glow-worms; greenfly
	muno	HL	adv.		here, as of a place which is non-specific
	munya	LL	v		eat, as by white ants or termites
m	muru	HL	n	3	screw; bolt; nut
	musa	LL	v		wake up someone from sleep
	mutha	HH	v		hold by the head while milking, as a goat
	Mwali	LH	n	1	God
	N'ompela	HHL	enum.		one
	na	L	conj.		with; and
	na	L	v		rain
	naka	LL	v		be beautiful
	nakisa	LLL	v		to make beautiful; to beautify
	nako	LL	n	9	time
	nala	LH	adj.		red brown markings on an ox
	nama	HH	n	7	type of creeper has small white thorns
	namatila	LLLL	v		cling to; stick on or adhere to
	namatilana	LLLLL	v		cling or stick to each other
	nambara	HLH	n	9	number
	namuni	LHL	n	9/10	orange
	namutshuka	LLLL	v		become loose or detached, as of paper from a wall; pull off
	namutshula	LLLL	v		detach
chi	nana	HH	n	7	rain frog 
ba	nana	HH	n	2	girls
zwa	nana	HH	n	8	group of small children
 	nanayila	HHHL	v		walk slowly 
	nangayila	HHHL	v		walk
	nanguba	HHL	adv.		even though
	naraki	HHL	n	9	naartjie (a type of fruit)
	nasi	HL	adv.		today
	natHa	HH	v		separate flour from coarse grain; sift or winnow
	natsha	LL	v		make beautiful; beautify
	nazwa	HH	v		lick, as with a tongue 
	nda	H	n	9/10	lice
n	nda	L	n	3	field
	ndabhatani	LLHH	n	3	month of March
	ndakidzilo	HHHL	n	9	revelation
	ndalama	LLH	n	9/10	beads; necklaces
	ndale	LH	n	9	traditional beer which is being sold
	ndalo	HL	n	9	sexual intercourse
	ndapo	LL	n	9	cure; treatment
	ndazula	HLH	n	9	type of  traditional dancing to a rhythm of drums
	ndeba	HL	n	9	whistle, an instrument as used by referees in games
	ndebo	HH	n	9/10	dialogue; meeting; a conversation
	ndechedzelo	LLLL	n	9	permit; permission
	ndedhu	LL	n	10	beard
	ndere	HL	n	7	type of wild bulb dug from the ground
	ndigwana	HLH	n	9	bread plate; small plate or bowl
	ndilo	HL	n	9	dish; plate
	ndima	LH	n	9	small subdivisions of a field when ploughed; plots
	ndimo	LL	n	9	ploughing season; agriculture
	ndipo	LL	n	9	payment
	ndobe	LL	n	9	newly deposited dung of cattle, it has many household uses
	ndobolo	HHL	n	9	wedding; a marriage
	ndoga	HL	adv.		alone (1sg.)
	ndongoloso	LLLL	n	9	agenda; programme
	ndori	HL	n	7	sweet wild bulb
	ndugwi	LL	n	9	bile
	ndulamo	LLL	n	9	righteousness; justness
	ndulo	LL	n	9	bile; gall
	ndume	HH	adj.		maleness, as of an animal
	ndzerema	HHL	v		make a loud sound, as of a cricket
	ndzunge	HL	n	7/2a	type of wild sweet bulbs
	ne	H	conj.		with; and
	nebukhwa	HHH	n	1a	name used for calling men of a particular totem
	nekere	LLL	n	9/10	sweets; candy
	nekwe	HH	prep.		about
chi	nena	LL	n	7	mons pubis; area above pubes
	nenekedza	LLLL	v		carry or use very carefully
	nenguba	HHL	conj.		even though
chi	nepe	HL	n	7	photograph
	neswimbo	HHL	n	1a	name used for calling men of a particular totem
	ng'a	L	n	5	cut on the sole of one's foot
	ng'amuka	LLL	v		become stretched
	ng'amula	LLL	v		stretch
chi	ng'ang'a	LH	n	7	Acacia mellifera tree or bush
	ng'ang'a	LL	v		argue
	ng'ang'aba	LLL	v		be on the verge of crying
bu	ng'anga	LL	n	14	doctoring; medicine
	ng'anga	LL	n	9	doctor; witchdoctor
	ng'anga	LL	v		scratch, as of one's skin when itchy
	ng'angahadzi	LLHH	n	9/10	stretchmarks on the body
	ng'apa	LL	v		scratch, as a thorn or a cat
	ng'atha	LL	v		to take a bite, as of food
	ng'aya	HL	adj.		tightness, to tie something tightly
	ng'ina	HL	n	5	ear-ring
	ng'olwana	LHL	adj.		denote a goat with a hide that is nearly all black
	ng'ombe	LL	n	9/10	cattle
	ng'ong'ola	LLL	v		grumble; to show dissatisfaction
	ng'ong'olo	LLL	n	9	complaint
ma	ng'oni	LH	n	6	problems; bruises; pains
	ng'umba	LH	n	9/10	house; hut
	ng'wanana	LHH	n	1	girl
chi	ng'wango	LL	n	7	cultivating hoe 
	ng'waya	LL	v		gather thatching grass
	ng'waza	LH	adv.		wilfulness; intentionally; without care
	ng'wazha	LH	n	3	trail made by livestock in the forest
ba	ng'we	L	n	2	others
n	ng'we	L	n	1	someone; somebody
chi	ng'we	L	n	7	something
ku	ng'we	L	n	17	another
	ng'wedzi	LH	n	3	moon; a menstruation period; month
chi	ng'wi	H	n	7	heavy beer drinker
	ng'wila	HL	v		to sink; to drown
chi	ng'wilo	HL	n	7	drinking vessel; a cup
	ng'wina	LH	n	3	holes as of ants or wild animals
	ng'wisa	HL	v		to cause to drink; to breastfeed
	ng'wise	LH	n	3	tail
	ng'wisidzila	HHHL	v		watering, as with plants
	ngabe	LH	n	9	ox
	ngamula	LLH	n	9/10	grown-up young man
	ngano	LL	n	10	folk tales
lu	ngano	LL	n	11	folk tale
	ngayi	HL	adv.		where
	ngee	LL	ideo.		brighten, as at dawn
	ngeno	HL	adv.		here
	ngina	HL	v		enter
	nginilila	HHHL	v		break in; intrude; jump the queue
	ngobe	HH	conj.		because
	ngoni	LL	n	10	mercy
chi	ngoringori	HHHL	n	7	small cap on the side of the ankle
	ngubo	LL	n	9/10	blankets
	ngulube	LLL	n	9	pig
chi	ngungu	HL	n	7	gizzard
	ngwa	L	n	9	fight; war
	ngwe	L	n	9	tiger
	ngwena	LL	n	9	crocodile
	ngwenu	LH	adv.		right now; at the present time
chi	ngwenungwenu	LHLL	n	7	modern
	ngwingwi	LL	n	10	gums
lu	nji	H	n	11/10	knitting needle; a long needle used for sewing bags or sacks; an injection needle
bu	nji	H	n	14	many; most
	njinji	HL	adv.		many
	nkadzasha	HHL	n	1a	name used for calling men of a particular totem
	nkope-shulo	HHHL	adj.		sleep with one's eyes open
chi	nkwa	L	n	7	bread
bu	nna	L	n	14	forty cents
	nna	L	enum.		four
	nokHwe	LH	n	1	so and so; such and such
	nokola	LLL	v		take a handful, spoonful etc., as of food
	nongo	HH	n	5	groundnut
bu	nono	LH	n	14	slowness
	nonoka	LLL	v		do something slowly
	norobaki	LLHL	n	7a	waistcoat
ma	noto	HL	n	6	musical notes
	nshashe	LL	n	7a/2a	tick, causes tick fever
	nsungwasha	HHL	n	1a	name used to refer to men of a particular totem
	nsunje	LL	n	7/2a	small black ant with a very painful bite
	ntemaphulu	HHLH	n	7/2a	species of agama lizard
	nTha	H	n	9	side
	ntolo	LH	adj.		long ago
	ntolontolo	LHLL	adj.		very long time ago; in the past
	ntombo	HH	n	1a	name used when calling men a particular totem
	ntome	LH	adv.		aside; out of alignment
	ntule	HL	n	7/2a	spring hare
n	nuhwo	LL	n	3	smell, usually unpleasant; a stench
n	nung'una	HHL	n	1	young sibling
	nunga	HL	v		pick; find a lost thing; pick up one by one
	nungo	LL	n	9	nodes; syllables
	nungu	LH	n	9	porcupine
	nuwa	LL	v		smell; sniff; inhale
	nxa	L	interj.		express disapproval, annoyance
	nya	L	v		defecate
bu	nya	L	n	14	slowness, when doing something
zhi	nyala	HL	n	21	thumb; big toe
	nyala	LL	v		become tired or weary; get exhausted
li	nyala	HL	n	11	fingernail
chi	nyala	HL	n	7	a finger; a toe
	nyala-meya	LLLH	v		be discouraged; become disheartened
	nyaladza	HHL	v		be silenced; to stop one from crying
	nyalala	HHL	v		become silent; keep quiet
	nyalalila	HHHL	v		not speak to someone, especially when spoken to 
ma	nyalo	LL	n	6	tiredness; weariness
	nyaluluka	LLLL	v		rest a while
	nyama	LL	n	9	meat
bu	nyambi	LH	n	14	neatness; skilfulness; cleverness
	nyambi	LH	n	9	skilful person
chi	nyame	LL	n	7	poisonous wild onion, usually used as a filler when making pillows
	nyamela	HHL	v		varnish; disappear
lu	nyanga	LH	n	11	horn, as of an animal
	nyanga	HL	v		move stealthily towards something
	nyanya	LL	v		worsen
	nyanyayidza	LLLL	v		refute; contradict; negate; oppose; deny
	nyasa	LL	v		splatter or spray some liquid
	nyati	HL	n	9	buffalo
	nyatsa	LL	v		belittle; treat with disdain
n	nyatsho	LL	n	3	baby bottle teat; baby's pacifier; a nipple
	nyawuka	LLL	v		melt; thaw
	nyawusa	LLL	v		boil milk; warm food or something
	nyaya	LL	v		to dampen; to wet something
	nyazukila	LLLL	v		stretch up on tiptoe so as to reach something high
bu	nye	L	n	14	chaff
ma	nye	L	n	6	type of dregs
lu	nye	L	n	11	thick-sowing; overcrowded plants
	nyebezela	LLLL	v		whisper
n	nyebezeli	LLLL	n	1	one who likes talking in whispers
	nyekhwa	LH	n	5/6	lie
	nyele	LL	n	9	flute
	nyeledza	LLL	v		cause to disappear 
chi	nyeledzi	HHL	n	7	quietness, as of a person; a reserved person who does not talk much
	nyelela	LLL	v		disappear; evaporate
	nyelele	HHH	v		is quiet
	nyeluka	LLL	v		abscond; run away secretly
	nyelukila	LLLL	v		start first as in a race
	nyelusa	LLL	v		cause to abscond or run away
	nyemba	LL	n	10	beans
li	nyemba	LL	n	11	bean plant
	nyemudza	LLL	v		tantalise by offering something and then refuse to give it
	nyenama	HHL	v		show teeth; grin
	nyenganyenga	HHHL	n	10	swallows
	nyenya	HL	v		smile
	nyenyedzi	HHH	n	9/10	stars
	nyenyengwa	HHH	n	5	rind, as of a sweet reed
	nyepa	LL	v		lie
n	nyepi	LL	n	1	liar
	nyetsani	LHL	n	9	spinal cord
	nyevi	LH	n	9	wild spinach used as a vegetable, grows on field
	nyeya	LL	v		tell tales about; backbite
	nyeza	HL	n	9	type of edible grub
	nyikishila	LLLL	v		become infected and develop some pus
	nyima	HL	v		withhold from; refuse someone something
n	nyimani	HHL	n	1	stingy person
	nyimo	LL	n	9/10	ground beans
	nying'we	HL	n	7a/2a	type of wild sweet bulb
	nyisa	HL	v		euphemism for giving one a thorough beating; cause to defecate
n	nyo	L	n	9	vagina
	nyoka	HH	n	9	snake
	nyokana	HHH	n	9	small snake
	nyola	HL	n	10	marks made on one's body by a traditional doctor
bu	nyolo	HL	n	14	wetness; dampness; slowness when doing something; a nice person
	nyoloka	HHL	v		become wet
	nyololo	LLL	n	9/10	oval-shaped edible fruit green with white stripes but yellowish when ripe, grows on a creeper plant
bu	nyolonyolo	HHLL	n	14	softness as of an overripe fruit; comfortable as of a cushion or seat
chi	nyongwani	HHL	n	7	greens from the leaves of a bean plant
	nyonje	LL	n	9	gum from the bark of a tree
bu	nyonyo	LL	n	14	small black ants
	nyonyonga	HHL	v		write
	nyota	HH	n	9	thirst
	nyotsHa	LL	v		be plentiful, as fruits on a tree
	nyuchi	HL	n	10	bees; honey bees; honey
	nyunda	HH	n	9	hump on the bull's neck
	nyungela	LLL	v		disappear into water; sink
	nyungula	HHH	n	9	toadpole
	nyungwi	LH	interj.		plunge into water; falling into some liquid
	nyuni	LL	n	9/10	bird
	nyunyidzila	LLLL	v		sprinkle a little, as of salt or pepper
	nyunyu	HL	n	9/10	mosquitoes
	nyunywani	LHL	n	9	bird
	nywenya	HL	v		make an ugly face at someone
	outsi	HHL	n	9	oats
	oveni	LLL	n	9	 oven
	pa	H	v		give; offer; present
bu	pabi	LH	n	14	width; broadness
	padzamuka	HLHL	v		start or jump, make a sudden movement; say something unconciously
	padzamula	HLHL	v		cause to start or jump
li	pai	LL	n	11	soft cotton blanket
	paka	HL	adj.		wearing the same color or type of clothing
	pakatidza	HHHL	v		cause to carry with both arms 
	pakatila	HHHL	v		carry with both hands
	pakugwa	HHL	v		be served or dished
	pakula	HHL	v		dish food; serve food
m	pakuli	HHL	n	1	one who dishes food
i	pakupaku	HHHL	n	7	cobra snake
	pala	LL	v		burrow; dig a hole, like a rabbit or dog; paw the ground, as of a horse
	paladza	LLL	v		scatter or spread out
	palala	LLL	v		disperse; go different ways
	palama	HHL	v		pass through; cut across, when going from one place to another
	palamente	LLHH	n	9	parliament
m	pale	LL	n	3	dried strips of melon
m	palo	HH	n	3	famine, as with livestock
	palo	LL	n	9	maths problem
	paluka	HHL	v		get torn
	paluka-moyo	HHHLL	v		awareness of heart-beat; get a fright
	palula	HHL	v		tear something
m	pama	LH	n	3	slap, as with the palm of a hand
	pampiri	LHL	n	9	paper
	panda	LL	v		ache; chew something hard
m	panda	LL	n	3	type of tree
	pandila	LLL	v		to plough dry soil, without moisture
i	paneri	HHL	n 	7	wench; spanner
	pang'we	LL	conj.		maybe; whether; perhaps
m	panga	HH	n	3	knife
	panguka	HHL	v		become discolored; fade as of a flower or some color
	pangula	HHL	v		cause to become discolored
i	pani	HL	n	7	span, as of oxen
m	pani	HL	n	3	Colophospermum mopane tree
	panyaladza	HHHL	v		cause to sit or stand with legs spread out
	panyalala	HHHL	v		sit or stand with legs spread out
	papamala	HHHL	v		be exposed; be clearly seen
	papha	LL	v		to increase
	paphidza	LLL	v		to increase something
	paphidzo	LLL	n	9	addition; increase; an increment
	parafini	LLHL	n	9	paraffin
ma	parapara	LLLL	n	6	upper inner part of one's thighs
	pasa	LL	n	9	passport
	pasa	LL	v		pass
	pat'a	HH	n	9	main road; a road wider than a foot path
	pat'a	LL	n	9	pocket in a garment
	pat'ana	HHL	v		accompany each other
	pat'ika	HHL	v		force someone; accuse falsely
i	patela	LHL	n	7	hospital
i	pato	HL	n	7	anus
	pawula	HHL	v		sprain
	payika	HHL	v		hang onto something, as of a blanket
	pazha	HH	v		have diarrhoea (derogative and usually used of animals
ma	pe	L	n	6	honey-combs
	pedza	HH	v		finish; complete; end
	peipi	LHL	n	9	smoking pipe
i	peiti	HHL	n	7	type of syringe  used to give enema
	pejo	LL	adj.		near or close
	pejopejo	LLLL	adv. 		very close or near
	pela-moyo	HHHL	v		get impatient; be anxious
	peledzela	HHHL	v		finish up; get used up
	pelegwa	HHL	v		to run out of
	pelekedza	HHHL	v		accompany part of the way; escort someone; take half-way
	pelela	HHL	v		get finished
	peleta	HHL	v		to spell
i	pelete	HHH	n	7	reader for beginners
bu	pelo	HH	n	14	end; finishing point
	pembela	HHL	v		to run wild
	penga	HH	v		go mad
bu	pengo	HL	n	14	madness; insanity
m	pengo	HL	n	1	lunatic; mad person
	pengula	HHL	v		lift up so as to look under
	peni	HL	n	9/10	pen
ma	peni	HL	n	6	pennies
	pensele	HLL	n	9	pencil
	penta	HL	v		paint
	pente	HL	n	9	paint
	penya	LL	v		shine; flash as of lightening; glisten
li	penyo	LL	n	11	lightning
	penyu	LH	adj.		alive
	pepa	HH	v		winnow grain to remove the chaff after pounding it
	pepeta	HHL	v		sift or winnow grain to remove the flour
	perekisi	HHLL	n	9/10	peach
i	pesu	HL	n	7	hare's tail; goat's tail
	peta	LL	v		make a hem; fold
	petenula	LLLL	v		unfold; unroll; undo a seam
m	peto	LL	n	3	hem; fold of material
	peyama	HHL	v		tilted or bent; sit leaning towards a certain direction
	peyita	HHL	v		give an enema
	pezhugwi	HLH	adj.		high up; on top; above
	ph°nda	L	n	10	poles that are dug into the ground to support the roof of a hut; a rafter
	phaila	HHL	v		give a side blow with an open hand; fall, the first rains of the season
	phainiapuli	HHLHHL	n	9	pineapple
	phaiphi	HHL	n	9	pipe
	pHakatigwa	LHLH	n	9	two ears of corn on one stalk, hence poor ears of corn
	phakela	LLL	v		to rise early in the morning
	pHako	LL	n	9/10	hollows in trees, made by borers and birds
	pHala	LH	n	9	impala, roebuck
	pHande	LH	n	9/10	applause; clap of hands
	phang'a	LL	v		eat greedily
li	pHangu	LH	n	11	hawk
	pHani	LL	n	9	scorpion
	pHanje	HL	n	9	unripe watermelon
	pHanje	HL	n	9	barren animal
	phapha	HH	v		chop firewood to size; split by cutting
	pharachuti	HHLL	n	9	parachute
	pharama	LLL	v		to sit or fall down on ones bottom abruptly
	pharela	LLL	v		to plaster with mud mixed with sand and dung
	phasela	HHH	n	9	parcel
	phasula	LLL	v		slap 
	pHata	HL	n	9/10	whole side of a slaughtered animal
bu	phatshwa	LL	n	14	being black and white in color as of an animal
	phatshwa	LL	adj		black and white markings on an ox
	phatshwana	LLL	adj.		black and white markings on a cow
li	phatu	HL	n	11	fragment of a broken thing
	phatuka	HHL	v		 be cracked, as an earthen vessel  
	phatula	HHL	v		crack something
m	phayilo	HHL	n	3	early rains
	pHazha	HL	n	9/10	forehead; luck
	phee	HH	n	9	pear
	pHejana	LLH	n	9	small hyena
	pheku	LH	n	9	charm; amulet
	pHele	LL	n	9/10	hyena; spotted hyena
	pheleu	LLL	n	9	ram
	phembge	LL	n	9/10	duiker
	pHende	LL	n	9	object made from the tail of a horse carried by men of a certain standing
	pHene	LH	n	9	steenbuck
	pheneselini	HHHHL	n	9	penicillin
	phensheni	HLL	n	9	pension
	phenti	HL	n	9	panty
	pHepo	HH	n	9	wind
	phiki	HL	n	9	stallion; uncastrated donkey
	phikoko	HHL	n	9	peacock
	phile	HH	n	9	bad singer
	phili	LL	n	9/10	banks of a river or a stream
i	phiri	LH	n	7	secret; confidential matter
	phizha	LH	n	1a	name used to call men of a particular totem
	pHobela	LHL	v		sink , as when walking in deep mud
	phobola	HHL	v		strike with something hard
	phodola	HHL	v		break sharply; a clean break
	phoko	HL	n	9	uncastrated billy goat
	phokozha	LHH	n	9	unmarried lady; great unmarried lady
	pHola	HL	n	9	beewax
	pHoni	LL	n	9/10	blisters on the hands 
	pHopo	HH	n	9/10	warts
	phori	HH	n	9	rust in corn
	phorisa	HHH	n	5	policeman
chi	phorisa	HHH	n	7	pertaining to police
	phoso	LL	n	9	mistake
	pHou	HL	n	9/10	ostrich
	pHowana	LHH	n	9	small ostrich
	pHudzi	LH	n	9	seeds of melon species
	pHuka	LH	n	9/10	wild animal; an abcess
	pHulu	LH	n	9/10	calves
	pHumbu	LH	n	9	euphemism for vagina, normally used for small children
	phumula	LLL	v		rest a while from work
	pHungugwe	LHL	n	9	jackal
	phunyuka	LLL	v		come out of a grip
	phuphuma	LLL	v		rise, as of foam from some brew
	phururuka	LLLL	v		fly
	phuthela	LLL	v		wrap up; wrap
m	phutho	LL	n	3	bundle
	phuthunula	LLLL	v		unwrap, as of parcels
	phutuka	HHL	v		explode; burst, as a ballon
	phutula	HHL	v		crack; smash; crack a whip
